code,PUNT_GLOBAL,PERCENTIL_GLOBAL,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,cobertura_neta_secundaria,departamento,desercion_secundaria,Código Departamento (DIVIPOLA),PIB
25,247.55901017382965,50.28391737518623,70,21979,18851,26147,0.2661992250053047,66.2301643594682,54.962055823605,84.82028494000001,Cundinamarca,4.50739974,25,21493669.332802255
27,197.42764056493164,20.43861111111111,2701,1711,1291,3386,80.95738767818153,37.73980759514945,30.702750763280644,60.79828938,Chocó,5.34223318,27,8840857.681653714
41,239.51948357991796,45.71039631302789,48,7176,5296,9730,0.5949354136147208,61.42323148924192,41.78270160626451,82.21404247000001,Huila,8.36886706,41,17203299.652294386
44,222.8830510938437,35.077777777777776,1368,3087,2242,5538,23.163050537092683,51.86568085095589,36.30081773947852,60.96863691,La Guajira,2.2266795,44,14645204.296217704
47,212.343819863223,29.29070102525582,383,6890,4549,11256,4.109969996338032,43.75191443712553,23.418564107912754,75.76967244000001,Magdalena,2.38065986,47,11038920.533284621
50,232.7296977384422,41.710887333419215,62,6615,5331,8588,1.1743904328690697,61.55381597176871,43.72534311028986,81.73188047,Meta,4.75779448,50,36794615.56460312
52,239.04535927794834,45.78960578304598,2915,8210,5897,12921,24.06361304588076,51.690650795426734,31.833169619749945,69.49797009999999,Nariño,3.1378034300000004,52,11042698.287308268
54,240.41227441589916,46.453541666666666,5,9713,7006,13504,0.06999205897401456,48.77414846390333,32.659080917068366,79.24177542000001,Norte de Santander,4.67915795,54,11176198.799493974
63,248.77778432443225,50.00277777777777,31,3918,3047,4724,0.18211036053998134,71.06907916353065,50.351297105950636,86.75646552,Quindio,6.99781781,63,17314660.815662775
66,233.73043451386798,42.187320483749055,158,6552,5290,7944,3.248508050523965,62.16641998476488,44.43078504853041,88.71395651,Risaralda,5.661722210000001,66,19887361.455949854
68,252.78690125946517,53.658997634466154,28,16064,12972,20225,0.10170678424192156,54.56276391056851,40.62998395189442,86.90392707,Santander,4.59684512,68,32094637.276008278
70,224.89063758266633,36.80399395925712,1178,4142,2719,7725,17.10717976856555,41.80948976132088,25.19437896034666,78.67257153,Sucre,3.0302583200000006,70,10035911.525992872
73,230.59518699524918,40.41411666520644,423,9731,7779,13379,4.707680822875173,55.83983962368082,41.37901863722157,88.42365122,Tolima,6.21695842,73,18767039.323581133
76,240.25878710309735,44.568175627791575,2336,30389,24184,35349,3.555515739987289,72.79761337922534,51.29110442381398,72.48025837,Valle del Cauca,4.93276391,76,25207338.87618105
81,232.6302215336897,41.73866213151928,51,1309,910,2402,1.6586076941250287,49.27422474009491,33.970299226928496,74.78915389000001,Arauca,3.5095341500000004,81,20944189.91046488
85,241.85107114408183,47.53201754385965,28,2877,2403,4222,1.1960616899317584,51.13904880522173,44.61160973812747,82.70589374000001,Casanare,5.65056735,85,39240094.4234199
86,230.8846318104341,40.46550671550672,361,1662,1115,2798,18.531063125793768,52.882568569803034,37.0226595029806,72.59604708,Putumayo,13.17901956,86,11235931.50184857
88,228.21217276701924,38.72727272727273,255,212,312,494,67.31502669717773,40.274599542334094,73.0739893211289,83.12179314,"Archipiélago de San Andrés, Providencia y Santa Catalina",0.93662192,88,27235955.352828342
91,203.7808247426579,23.96666666666667,153,96,144,398,78.64116575591986,18.871555939027896,30.24195187422107,59.41317047,Amazonas,6.5092434400000005,91,10942614.34824753
94,225.4343915343915,37.111111111111114,26,21,36,101,10.699588477366255,10.08230452674897,36.831275720164605,36.81976071,Guainía,10.898565319999998,94,8374613.452346913
95,224.6217992359827,36.75,75,364,306,639,17.91339311754905,40.48517403927956,43.465244117198864,68.93503577999999,Guaviare,9.93778912,95,10522509.60739757
97,196.44554086383354,20.055555555555557,174,19,47,203,92.40837696335078,20.593368237347292,20.11343804537522,32.96521259,Vaupés,5.15625,97,6908310.877200913
99,235.948122327632,44.0625,16,126,122,347,5.632585804999598,38.44577835957146,35.01507113576079,28.49379585,Vichada,7.65195369,99,6764000.743705637
