COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,226.93243243243242,38.87837837837838,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17,64,45,74
5.0,5001.0,1,250.5142857142857,53.207142857142856,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,129,111,140
5.0,5001.0,1,278.0970149253731,69.81716417910448,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,261,241,268
5.0,5001.0,1,295.1506849315069,76.89041095890411,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,73,71,73
5.0,5001.0,1,281.1951219512195,70.03658536585365,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,82,79,82
5.0,5001.0,1,301.0,85.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1
5.0,5001.0,1,237.67368421052632,45.82105263157895,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,83,63,95
5.0,5001.0,1,261.6222222222222,59.91111111111111,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,42,32,45
5.0,5001.0,1,256.33846153846156,57.184615384615384,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,55,37,65
5.0,5001.0,1,241.5,47.97142857142857,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,62,54,70
5.0,5001.0,1,248.7642276422764,52.45528455284553,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,111,95,123
5.0,5001.0,1,233.43636363636364,42.763636363636365,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,50,36,55
5.0,5001.0,1,234.79761904761904,43.345238095238095,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,69,53,84
5.0,5001.0,1,246.76923076923077,51.07692307692308,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,119,100,130
5.0,5001.0,1,267.92537313432837,61.82089552238806,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,66,66,67
5.0,5001.0,1,230.35416666666666,40.6875,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,38,29,48
5.0,5001.0,1,248.93846153846152,53.03076923076923,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,51,44,65
5.0,5001.0,1,244.71428571428572,49.94285714285714,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,31,25,35
5.0,5001.0,1,246.37254901960785,51.549019607843135,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,41,37,51
5.0,5001.0,1,266.1818181818182,61.68181818181818,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,59,51,66
5.0,5001.0,1,267.6837944664032,63.59683794466403,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10,247,227,253
5.0,5001.0,1,231.88571428571427,41.91428571428571,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,32,28,35
5.0,5001.0,1,233.95049504950495,43.07920792079208,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,88,74,101
5.0,5001.0,1,272.109756097561,66.82926829268293,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,81,73,82
5.0,5001.0,1,238.26190476190476,46.095238095238095,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,36,32,42
5.0,5001.0,1,240.92156862745097,47.1764705882353,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,45,34,51
5.0,5001.0,1,261.18367346938777,60.59183673469388,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,45,36,49
5.0,5001.0,1,227.15254237288136,39.50847457627118,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,50,42,59
5.0,5001.0,1,241.07142857142858,48.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,49,37,56
5.0,5001.0,1,241.27710843373495,47.7710843373494,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,75,62,83
5.0,5001.0,1,248.97619047619048,52.48809523809524,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,80,61,84
5.0,5001.0,1,272.6842105263158,66.10526315789474,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,36,34,38
5.0,5001.0,1,224.33333333333334,37.53703703703704,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,45,34,54
5.0,5001.0,1,249.40425531914894,53.46808510638298,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41,37,47
5.0,5001.0,1,246.82,51.24,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,48,43,50
5.0,5001.0,1,241.1184210526316,47.973684210526315,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,70,61,76
5.0,5001.0,1,245.71818181818182,50.627272727272725,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,94,69,110
