code_dept,code_muni,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,cole_privado,cole_publico,cole_urbano,cole_rural,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,rural_share,privado_share
15,15322,2,247.85238095238094,50.5,0,2,2,0,0,87,71,109,0.0,79.81651376146789,65.13761467889908,0.0,0.0
15,15325,2,239.17293233082705,46.0,0,2,1,1,0,11,9,26,0.0,42.30769230769231,34.61538461538461,50.0,0.0
15,15332,1,245.94736842105263,49.0,0,1,1,0,1,22,20,38,2.631578947368421,57.89473684210527,52.63157894736842,0.0,0.0
15,15362,1,270.0625,66.0,0,1,1,0,0,7,10,16,0.0,43.75,62.5,0.0,0.0
15,15367,1,255.6451612903226,56.0,0,1,1,0,0,37,28,62,0.0,59.67741935483871,45.16129032258064,0.0,0.0
15,15368,1,219.94736842105263,34.0,0,1,1,0,0,11,9,38,0.0,28.947368421052634,23.684210526315788,0.0,0.0
15,15377,1,236.23809523809524,45.0,0,1,0,0,0,5,6,21,0.0,23.809523809523807,28.57142857142857,0.0,0.0
15,15380,1,235.8695652173913,44.0,0,1,1,0,0,14,10,23,0.0,60.86956521739131,43.47826086956522,0.0,0.0
15,15401,1,255.125,56.0,0,1,1,0,0,5,4,16,0.0,31.25,25.0,0.0,0.0
15,15403,2,238.02597402597405,46.0,0,2,1,1,0,11,8,25,0.0,44.0,32.0,50.0,0.0
15,15407,3,259.324345146379,56.666666666666664,0,3,2,1,0,100,80,132,0.0,75.75757575757575,60.60606060606061,33.33333333333333,0.0
15,15425,1,261.08,59.0,0,1,1,0,0,27,22,50,0.0,54.0,44.0,0.0,0.0
15,15442,2,258.024024024024,57.5,0,2,1,1,0,19,15,46,0.0,41.30434782608695,32.608695652173914,50.0,0.0
15,15455,1,273.0352941176471,66.0,0,1,1,0,0,65,56,85,0.0,76.47058823529412,65.88235294117646,0.0,0.0
15,15464,1,225.64285714285717,38.0,0,1,1,0,0,14,6,28,0.0,50.0,21.428571428571427,0.0,0.0
15,15466,2,235.0909090909091,42.5,0,2,2,0,0,40,33,55,0.0,72.72727272727273,60.0,0.0,0.0
15,15469,3,253.51388888888889,54.0,1,2,1,1,0,118,93,178,0.0,66.29213483146067,52.24719101123596,33.33333333333333,33.33333333333333
15,15476,2,236.79861111111111,45.0,0,2,1,1,0,20,17,34,0.0,58.82352941176471,50.0,50.0,0.0
15,15480,1,239.0735294117647,46.0,0,1,0,0,0,55,26,68,0.0,80.88235294117648,38.23529411764706,0.0,0.0
15,15491,4,281.09784667251813,69.75,2,2,2,2,0,165,143,193,0.0,85.49222797927462,74.09326424870466,50.0,50.0
15,15494,2,251.65,53.5,0,2,1,1,0,30,25,50,0.0,60.0,50.0,50.0,0.0
15,15500,1,274.04761904761904,68.0,0,1,1,0,0,16,9,21,0.0,76.19047619047619,42.857142857142854,0.0,0.0
15,15507,1,223.6338028169014,36.0,0,1,1,0,0,39,31,71,0.0,54.929577464788736,43.66197183098591,0.0,0.0
15,15511,1,250.44444444444449,54.0,0,1,1,0,0,10,8,18,0.0,55.55555555555556,44.44444444444444,0.0,0.0
15,15514,1,259.79411764705884,59.0,0,1,1,0,0,21,19,34,0.0,61.76470588235294,55.88235294117647,0.0,0.0
15,15516,8,281.7268343307955,68.125,2,6,5,3,0,258,232,355,0.0,72.67605633802818,65.35211267605634,37.5,25.0
15,15518,1,246.8095238095238,51.0,0,1,1,0,0,5,5,21,0.0,23.809523809523807,23.809523809523807,0.0,0.0
15,15522,1,258.75,57.0,0,1,1,0,0,13,10,24,0.0,54.166666666666664,41.66666666666667,0.0,0.0
15,15531,3,244.09745670995673,48.666666666666664,0,3,1,2,0,32,28,78,0.0,41.02564102564102,35.8974358974359,66.66666666666666,0.0
15,15533,1,250.375,55.0,0,1,1,0,0,2,3,8,0.0,25.0,37.5,0.0,0.0
15,15537,1,259.1621621621622,58.0,0,1,1,0,0,29,24,37,0.0,78.37837837837837,64.86486486486487,0.0,0.0
15,15542,3,242.1623931623932,47.333333333333336,0,3,1,2,0,27,21,79,0.0,34.177215189873415,26.582278481012654,66.66666666666666,0.0
15,15550,1,251.47368421052636,55.0,0,1,1,0,0,2,7,19,0.0,10.526315789473683,36.84210526315789,0.0,0.0
15,15572,11,226.23415404922855,38.09090909090909,1,10,5,6,24,437,291,578,4.1522491349480966,75.60553633217994,50.34602076124568,54.54545454545454,9.090909090909092
15,15580,3,237.52777777777774,45.333333333333336,0,3,1,2,0,13,8,43,0.0,30.23255813953488,18.6046511627907,66.66666666666666,0.0
15,15599,2,232.7305194805195,42.0,0,2,1,1,0,64,49,109,0.0,58.71559633027523,44.95412844036697,50.0,0.0
15,15600,2,255.38541666666666,56.0,0,2,1,1,0,24,21,47,0.0,51.06382978723404,44.680851063829785,50.0,0.0
15,15621,2,251.21428571428572,54.5,0,2,1,1,0,7,6,24,0.0,29.166666666666668,25.0,50.0,0.0
